Name,Nationality,Team,Player_type,Age,IPLGa,Twenty20Av,TwentyStrike,BowlAV,EcoRate,Value
Kedar Jadhav,India,Chennai Super Kings,Batsmen,32,64,24.3,136.76,,,1200000
Faf du Plessis,South Africa,Chennai Super Kings,Batsmen,33,53,27.34,124.31,,,245000
Suresh Raina,India,Chennai Super Kings,Batsmen,31,161,33.5,139.41,,,1700000
Dhruv Shorey,India,Chennai Super Kings,Batsmen,25,0,31.58,124.6,,,31000
Murali Vijay,India,Chennai Super Kings,Batsmen,33,100,26.43,123.39,,,306000
Dwayne Bravo,West Indies,Chennai Super Kings,All Rounder,34,106,22.94,126.32,22.58,8.19,980000
Ravindra Jadeja,India,Chennai Super Kings,All Rounder,29,138,24.05,122.92,30.56,7.81,1100000
Karn Sharma,India,Chennai Super Kings,All Rounder,30,56,15.09,115.69,27,7.67,766000
kshitiz Sharma,India,Chennai Super Kings,All Rounder,27,0,,,,,31000
Shane Watson,Australia,Chennai Super Kings,All Rounder,36,102,31.21,136.65,28.26,7.83,613000
Sam Billings,England,Chennai Super Kings,Wicket Keeper,26,11,22.6,134.52,,,153000
MS Dhoni,India,Chennai Super Kings,Wicket Keeper,36,159,37.87,136.71,,,2300000
Narayan Jagadeesan,India,Chennai Super Kings,Wicket Keeper,22,0,,,,,31000
KM Asif,India,Chennai Super Kings,Fast Bowler,24,0,,,,,61000
Chaitanya Bishnoi,India,Chennai Super Kings,Spin Bowler,23,0,17.58,94.61,23,7.66,31000
Deepak Chahar,India,Chennai Super Kings,Fast Bowler,25,5,9.8,130.6,22.34,7.46,123000
Monu Kumar,India,Chennai Super Kings,Fast Bowler,23,0,3,120,21.06,6.47,31000
Lungi Ngidi,South Africa,Chennai Super Kings,Fast Bowler,21,0,,,19.41,7.23,77000
Mitchell Santner,New Zealand,Chennai Super Kings,Spin Bowler,20,0,20.3,128.21,25.09,7,77000
Kanishk Seth,India,Chennai Super Kings,Fast Bowler,20,0,,,17.94,7.02,31000
Harbhajan Singh,India,Chennai Super Kings,Spin Bowler,37,136,15.17,131.66,26.65,6.95,306000
Imran Tahir,South Africa,Chennai Super Kings,Spin Bowler,38,32,9.77,103.77,21.52,7.14,153000
Shardul Thakur,India,Chennai Super Kings,Fast Bowler,26,13,4.87,102.63,25.06,8.11,398000
Mark Wood,England,Chennai Super Kings,Fast Bowler,28,0,13,95.12,24.5,8.37,230000
